acao,pid,site,tenho
B3SA3,18628,https://br.investing.com/equities/bmfbovespa-on-nm,0
BBFI11b,986549,https://br.investing.com/equities/progressivo,0
BRDT3,1056489,https://br.investing.com/equities/petrobras-distribuidora,0
GNDI3,1073664,https://br.investing.com/equities/notre-dame-intermedica-participacoe,0
ITSA3,18705,https://br.investing.com/equities/itausa-on-ej-n1,0
ITSA4,18706,https://br.investing.com/equities/itausa-pn-ej-n1,0
KNRI11,940958,https://br.investing.com/equities/fii-kinea,0
MGLU3,18729,https://br.investing.com/equities/magaz-luiza-on-nm,0
XPML11,1057399,https://br.investing.com/etfs/xp-malls-fdo-inv-imob-fii,0
YDUQ3,18673,https://br.investing.com/equities/estacio-part-on-nm,0
TRPL4,18805,https://br.investing.com/equities/tran-paulist-pn,0
BOVA11,39004,https://br.investing.com/etfs/ishares-ibovespa,0
HGRU11,1097720,https://br.investing.com/equities/cshg-renda-urbana-fii,0
RBRR11,1091188,https://br.investing.com/equities/fii-rbr-rendimento-high-grade,0
